title,release_year,episodes,ratings,netflix,viki,prime_video,disney_plus
Never Give Up (Korean Drama),2022,16,7.9,yes,no,no,no
"Work Later, Drink Now 2",2022,12,8.1,no,no,no,no
Revenge of Others,2022,12,8.5,no,no,no,yes
New Normal Zine,2022,12,6.8,no,no,no,no
All of Us Are Dead,2022,12,8.6,yes,no,no,no
Game of Witches,2022,119,6.9,no,no,no,no
Vengeance of the Bride,2022,102,7.1,no,no,no,no
Grid (Korean Drama),2022,10,7.5,no,no,no,yes
Through the Darkness,2022,12,8.7,yes,yes,no,no
Bloody Heart,2022,16,8.2,no,no,no,no
"No, Thank You 2",2022,12,7.5,no,no,no,no
Bad Prosecutor,2022,12,8.2,no,yes,no,no
Shadow Detective,2022,8,7.9,no,no,no,yes
The Good Detective 2,2022,16,8.2,yes,yes,no,no
Kiss Sixth Sense,2022,12,8,no,no,no,yes
The Forbidden Marriage,2022,12,8.3,no,no,no,no
Connect (2022),2022,6,7.7,no,no,no,yes
Under The Queen's Umbrella,2022,16,9,yes,no,no,no
Blind (Korean Drama),2022,16,8.6,no,no,no,no
Dr. Park's Clinic,2022,12,7.6,no,no,no,no
Again My Life,2022,16,8.3,no,yes,no,no
Apple of My Eye,2023,121,6.8,no,no,no,no
Korea-Khitan War,2023,32,8,yes,no,no,no
The Worst Of Evil,2023,12,8.6,no,no,no,yes
Payback: Money and Power,2023,12,7.7,no,no,yes,no
The Deal (Korean Drama),2023,8,7.8,no,yes,no,no
CEO-dol Mart,2023,10,7.5,no,yes,no,no
Bitch and Rich,2023,10,7.7,yes,yes,no,no
Castaway Diva,2023,12,8.3,yes,no,no,no
My Lovely Liar,2023,16,8.2,no,yes,no,no
Black Knight (Netflix),2023,6,8.2,yes,no,no,no
Woman in a Veil,2023,103,6.8,no,no,no,no
Twinkling Watermelon,2023,16,9.2,yes,yes,no,no
True to Love,2023,14,8.1,no,no,no,no
Vigilante (Korean Drama),2023,8,8.5,no,no,no,yes
The Real Has Come,2023,50,7.3,yes,yes,no,no
Durian's Affair,2023,16,7.2,no,no,no,no
Agency (Korean Drama),2023,16,8.2,yes,yes,no,no
Brain Works,2023,16,8,yes,yes,no,no
Lies Hidden in My Garden,2023,8,7.7,no,yes,no,no
My Perfect Stranger,2023,16,8.6,no,no,no,no
Behind Your Touch,2023,16,8.1,yes,no,no,no
The Kidnapping Day,2023,12,8.6,no,no,yes,no
King the Land,2023,16,8.3,yes,no,no,no
The Secret Romantic Guesthouse,2023,18,8.1,no,yes,no,no
