Kdramas_dataset_modificado
title;release_year;episodes;ratings;original_network;netflix;viki;prime_video;disney_plus;hbo_max;apple_tv;disponible_en_chile
King the Land;2023;16;8.3;JTBC;yes;no;no;no;no;no;yes
The Secret Romantic Guesthouse;2023;18;8.1;SBS;no;yes;no;no;no;no;yes
Welcome to Samdal-ri;2023;16;8.6;JTBC;yes;yes;no;no;no;no;yes
Cold Blooded Intern;2023;12;7.4;TVING;no;no;no;no;no;no;no
Moon In The Day;2023;14;7.7;ENA;no;yes;no;no;no;no;yes
Doctor Cha;2023;16;8.1;JTBC;yes;no;no;no;no;no;yes
The First Responders 2;2023;12;8.7;SBS;no;no;no;no;no;no;no
Call It Love;2023;16;8.2;Disney+;no;no;no;yes;no;no;yes
A Time Called You;2023;12;8.4;Netflix;yes;no;no;no;no;no;yes
Between Him and Her;2023;12;6.7;Channel A;yes;yes;no;no;no;no;yes
The Glory Part 2;2023;8;8.9;Netflix;yes;no;no;no;no;no;yes
Destined with You;2023;16;8.2;JTBC;yes;no;no;no;no;no;yes
Delivery Man (Korean Drama);2023;12;7.8;ENA;no;yes;no;no;no;no;yes
Moving;2023;20;9.0;Disney+;no;no;no;yes;no;no;yes
Numbers (Korean Drama);2023;12;7.8;MBC;no;no;no;no;no;no;no
Hide (Korean Drama);2024;12;7.5;JTBC;no;yes;no;no;no;no;yes
Love Next Door;2024;16;8.3;tvN;yes;no;no;no;no;no;yes
Cinderella Game (Korean Drama);2024;101;7.3;KBS2;no;no;no;no;no;no;no
Knight Flower;2024;12;8.4;MBC;yes;no;no;no;no;no;yes
Marry My Husband;2024;16;8.5;tvN;no;no;yes;no;no;no;yes
The Escape of the Seven: Resurrection;2024;16;7.8;SBS;no;yes;no;no;no;no;yes
Dear Hyeri;2024;12;7.1;ENA;no;yes;no;no;no;no;yes
The Frog (Netflix);2024;8;7.9;Netflix;yes;no;no;no;no;no;yes
The 8 Show;2024;8;7.6;Netflix;yes;no;no;no;no;no;yes
The Two Sisters;2024;104;5.9;KBS2;no;no;no;no;no;no;no
The Trunk;2024;8;7.9;Netflix;yes;no;no;no;no;no;yes
Goodbye Earth;2024;12;6.4;Netflix;yes;no;no;no;no;no;yes
Desperate Mrs. Seonju;2024;126;7.2;MBC;no;no;no;no;no;no;no
Wedding Impossible;2024;12;7.6;tvN;no;yes;no;no;no;no;yes
Bad Memory Eraser;2024;16;7.2;MBN;no;yes;no;no;no;no;yes
Dog Knows Everything;2024;12;8.0;KBS2;no;no;no;no;no;no;no
Sorry Not Sorry;2024;12;7.4;JTBC;no;no;no;no;no;no;no
The Whirlwind;2024;12;8.0;Netflix;yes;no;no;no;no;no;yes
Perfect Family;2024;12;7.6;KBS2;no;yes;no;no;no;no;yes
Squid Game 2;2024;6;8.1;Netflix;yes;no;no;no;no;no;yes
Namib (Korean Drama);2024;12;7.9;ENA;no;yes;no;no;no;no;yes
Parasyte: The Grey;2024;6;8.4;Netflix;yes;no;no;no;no;no;yes
Social Savvy Class 101;2024;8;7.0;TVING;yes;no;no;no;no;no;yes
Romance in the House;2024;12;7.6;JTBC;yes;no;no;no;no;no;yes
Lovely Runner;2024;16;9.0;tvN;yes;yes;no;no;no;no;yes
Serendipity's Embrace;2024;8;8.1;tvN;no;yes;no;no;no;no;yes
Dare to Love Me;2024;16;7.1;KBS2;yes;yes;no;no;no;no;yes
The Tyrant (Korean Drama);2024;4;7.5;Disney+;no;no;no;yes;no;no;yes
Jeongnyeon: The Star is Born;2024;12;8.3;tvN;no;no;no;no;no;no;no
The Player 2: Master of Swindlers;2024;12;8.3;tvN;no;yes;no;no;no;no;yes
Good Partner;2024;16;8.5;SBS;no;yes;no;no;no;no;yes
What Comes After Love;2024;6;8.1;Coupang Play;no;yes;no;no;no;no;yes
Queen Of Tears;2024;16;8.7;tvN;yes;no;no;no;no;no;yes
To The Moon;2025;12;7.5;tvN;no;no;no;no;no;no;no
Mercy for None;2025;7;8.3;Netflix;yes;no;no;no;no;no;yes
LOVE.exe;2025;16;7.1;TBA;no;no;no;no;no;no;no
Moon River (Korean Drama);2025;14;8.1;TBA;no;yes;no;no;no;no;yes
S Line;2025;6;7.1;tvN;no;no;no;no;no;no;no
Squid Game 3;2025;6;7.5;Netflix;yes;no;no;no;no;no;yes
The Price of Confession;2025;12;8.7;Netflix;yes;no;no;no;no;no;yes
A History of Losers;2025;8;7.3;TVING;no;no;yes;no;no;no;yes
Shin's Project;2025;12;7.8;TBA;no;no;no;no;no;no;no
Love Scout;2025;12;8.5;TBA;yes;yes;no;no;no;no;yes
Cashero;2025;8;7.9;Netflix;yes;no;no;no;no;no;yes
The Manipulated;2025;12;8.4;Disney+;no;no;no;yes;no;no;yes
Don't Call Me Ma'am;2025;12;7.6;TBA;no;no;no;no;no;no;no
Undercover High School;2025;12;8.5;tvN;no;no;no;no;no;no;no
Unmasked (Korean Drama);2025;12;8.1;Disney+;no;no;no;yes;no;no;yes
Oh My Ghost Clients;2025;10;8.2;TBA;yes;no;no;no;no;no;yes
Our Golden Days;2025;50;7.4;TBA;yes;yes;no;no;no;no;yes
You and Everything Else;2025;15;8.5;Netflix;yes;no;no;no;no;no;yes
Villains (Korean Drama);2025;8;7.2;TVING;no;no;no;no;no;no;no
Hyper Knife;2025;6;7.9;Disney+;no;no;no;yes;no;no;yes
Heavenly Ever After;2025;12;7.9;TBA;yes;no;no;no;no;no;yes
Buried Hearts;2025;16;8.0;TBA;no;no;no;no;no;no;no
The Winning Try;2025;12;8.5;TBA;yes;no;no;no;no;no;yes
Surely Tomorrow;2025;12;7.2;TBA;no;no;yes;no;no;no;yes
Study Group;2025;10;8.9;TVING;no;yes;no;no;no;no;yes
Our Unwritten Seoul;2025;12;8.7;TBA;yes;no;no;no;no;no;yes
The Murky Stream;2025;9;7.5;Disney+;no;no;no;yes;no;no;yes
Mother and Mom;2025;8;7.3;TBA;no;no;no;no;no;no;no
Queen's House;2025;100;7.3;KBS2;no;no;no;no;no;no;no
The Defects;2025;8;8.2;TBA;no;no;no;no;no;no;no
Queen Mantis;2025;8;8.1;TBA;yes;yes;no;no;no;no;yes
Weak Hero Class 2;2025;8;8.8;Netflix;yes;no;no;no;no;no;yes
My Dearest Nemesis;2025;12;8.0;TBA;no;yes;no;no;no;no;yes
Bon Appétit, Your Majesty;2025;12;8.4;TBA;yes;no;no;no;no;no;yes
The Queen Who Crowns;2025;12;8.1;TBA;no;yes;no;no;no;no;yes
When Life Gives You Tangerines;2025;16;9.3;Netflix;yes;no;no;no;no;no;yes
Dynamite Kiss;2025;14;7.8;TBA;yes;no;no;no;no;no;yes
The Scandal of Chunhwa;2025;10;7.5;TVING;no;no;no;no;no;no;no
ONE: High School Heroes;2025;8;8.2;Disney+;no;no;no;yes;no;no;yes
